#options: 380x288 fps=72/1 timebase=1/72 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=54 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=81 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=94 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=94 vbv_bufsize=64 nal_hrd=none filler=0 ip_ratio=0.02 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:69.00 aq:51.00 tex:74 mv:195 misc:99 imb:432 pmb:0 smb:0 d:- ref:;
in:80 out:80 type:B dur:2 cpbdur:2 q:43.66 aq:41.03 tex:60 mv:39 misc:157 imb:1 pmb:7 smb:424 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:44.11 aq:44.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:43.65 aq:44.00 tex:2 mv:14 misc:120 imb:0 pmb:4 smb:428 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:42.83 aq:33.43 tex:102 mv:55 misc:179 imb:0 pmb:19 smb:413 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:40.75 aq:32.86 tex:1609 mv:504 misc:407 imb:41 pmb:40 smb:351 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:39.98 aq:32.98 tex:1465 mv:450 misc:373 imb:23 pmb:53 smb:356 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:41.31 aq:40.00 tex:1 mv:22 misc:153 imb:0 pmb:7 smb:425 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:41.82 aq:41.00 tex:1 mv:12 misc:123 imb:0 pmb:3 smb:429 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:41.29 aq:41.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:40.66 aq:30.93 tex:2032 mv:535 misc:369 imb:40 pmb:41 smb:351 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:38.36 aq:30.97 tex:1596 mv:559 misc:373 imb:40 pmb:40 smb:352 d:- ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:41.03 aq:39.00 tex:1 mv:6 misc:137 imb:0 pmb:2 smb:430 d:- ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:41.35 aq:40.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
